// This file is generated automatically. All manually added changes will be removed when running the Converter.
// Desert Mountains warps

006-1,18,31|warp|-1,-1,005-1,172,101
006-1,40,26|warp|-1,-1,006-3,40,28
006-1,60,58|warp|-1,-1,006-3,60,70
006-1,62,30|warp|-1,-1,006-3,62,32
006-1,55,27|warp|-1,-1,006-3,55,29
006-1,77,44|warp|-1,-1,006-3,77,46
006-1,86,24|warp|-1,-1,006-3,86,26
006-1,91,24|warp|-1,-1,006-3,91,26
006-1,104,44|warp|-1,-1,006-3,104,46
006-1,122,24|warp|-1,-1,006-3,122,26
006-1,114,49|warp|-1,-1,006-3,114,51
006-1,110,56|warp|-1,-1,006-3,110,58
006-1,125,59|warp|-1,-1,006-3,125,61
006-1,92,63|warp|-1,-1,006-3,92,65
006-1,112,74|warp|-1,-1,006-3,112,76
006-1,121,110|warp|-1,-1,006-3,121,112
006-1,79,120|warp|-1,-1,006-3,79,122
006-1,38,121|warp|-1,-1,006-3,38,123
006-1,74,90|warp|-1,-1,006-3,74,92
006-1,51,90|warp|-1,-1,006-3,51,92
006-1,30,123|warp|-1,-1,032-3,128,33
006-1,19,30|warp|-1,-1,005-1,172,101
006-1,20,29|warp|-1,-1,005-1,172,101
006-1,21,28|warp|-1,-1,005-1,172,101
006-1,22,27|warp|-1,-1,005-1,172,101
006-1,23,26|warp|-1,-1,005-1,172,101
006-1,24,25|warp|-1,-1,005-1,172,101
006-1,25,24|warp|-1,-1,005-1,172,101
006-1,26,23|warp|-1,-1,005-1,172,101
006-1,27,22|warp|-1,-1,005-1,172,101
006-1,28,21|warp|-1,-1,005-1,172,101
006-1,29,20|warp|-1,-1,005-1,172,101
006-1,30,19|warp|-1,-1,005-1,172,101
